drug_id,smiles,hsa_id
DB01592,[Fe],hsa54583
DB01592,[Fe],hsa2495
DB01592,[Fe],hsa5423
DB01592,[Fe],hsa1356
DB01592,[Fe],hsa55869
DB01592,[Fe],hsa2395
DB01592,[Fe],hsa2237
DB01592,[Fe],hsa79661
DB01592,[Fe],hsa252969
D06059,CNCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13.Cl.Cl.O,hsa7155
D06059,CNCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13.Cl.Cl.O,hsa7153
D03239,C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.O=C(O)C(O)C(O)C(=O)O,hsa4129
D03239,C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.O=C(O)C(O)C(O)C(=O)O,hsa4128
D03239,C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.O=C(O)C(O)C(O)C(=O)O,hsa43
D03239,C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21.O=C(O)C(O)C(O)C(=O)O,hsa590
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1588
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1543
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1544
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1545
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1548
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1549
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1551
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1553
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1555
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1557
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1558
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1559
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1562
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1565
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1571
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1572
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1573
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1576
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1577
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1580
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa1586
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa199974
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa260293
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa29785
D03781,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O,hsa64816
D10386,CC(=N)NCCSCC(C)(N)C(=O)O,hsa4843
D09883,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,hsa1956
D09883,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,hsa2064
D09883,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN1CCCCC1,hsa2066
D11410,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cc(C(F)(F)F)ccc4[nH]3)ccnc2N1,hsa1956
D11410,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc4cc(C(F)(F)F)ccc4[nH]3)ccnc2N1,hsa673
D09893,CCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,hsa7357
DB12965,[Ag],hsa1356
D01828,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,hsa2135
D01842,NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1,hsa231
D01842,NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1,hsa57016
D00453,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,hsa7153
D10737,CN(C)C(C(=O)Nc1ccc2c(=O)[nH]ccc2c1)c1ccsc1,hsa6093
D10737,CN(C)C(C(=O)Nc1ccc2c(=O)[nH]ccc2c1)c1ccsc1,hsa9475
D00785,C#CCN(C)C(C)Cc1ccccc1.Cl,hsa4129
D00785,C#CCN(C)C(C)Cc1ccccc1.Cl,hsa4128
D00965,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,hsa5447
D01899,CC1(C(=O)[O-])CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(=O)CCC(=O)[O-])C(C)(C)C5CCC43C)C2C1.[Na+].[Na+],hsa3290
D02982,N=C(N)NCCCC(N)C(=O)O,hsa113451
D02982,N=C(N)NCCCC(N)C(=O)O,hsa4843
D02982,N=C(N)NCCCC(N)C(=O)O,hsa4846
D02982,N=C(N)NCCCC(N)C(=O)O,hsa435
D02982,N=C(N)NCCCC(N)C(=O)O,hsa445
D02982,N=C(N)NCCCC(N)C(=O)O,hsa384
D00026,NC(CS)C(=O)O,hsa102724560
D00026,NC(CS)C(=O)O,hsa875
D00026,NC(CS)C(=O)O,hsa9054
D00026,NC(CS)C(=O)O,hsa2805
D00026,NC(CS)C(=O)O,hsa51380
D00026,NC(CS)C(=O)O,hsa1491
D00026,NC(CS)C(=O)O,hsa2729
D00026,NC(CS)C(=O)O,hsa2937
D00026,NC(CS)C(=O)O,hsa1036
D00026,NC(CS)C(=O)O,hsa833
D00026,NC(CS)C(=O)O,hsa4255
D00026,NC(CS)C(=O)O,hsa79587
D09326,COc1cc2c(cc1OC)C1CC(N)C(N3CC(CF)CC3=O)CN1CC2.Cl.Cl,hsa1803
DB09460,O=C([O-])[O-].[Na+].[Na+],hsa759
DB09460,O=C([O-])[O-].[Na+].[Na+],hsa760
DB09460,O=C([O-])[O-].[Na+].[Na+],hsa762
DB09460,O=C([O-])[O-].[Na+].[Na+],hsa768
D00547,FCOC(C(F)(F)F)C(F)(F)F,hsa4535
D00547,FCOC(C(F)(F)F)C(F)(F)F,hsa27032
D00547,FCOC(C(F)(F)F)C(F)(F)F,hsa513
D00547,FCOC(C(F)(F)F)C(F)(F)F,hsa1571
D09701,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1,hsa1586
D03163,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],hsa5742
D03163,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],hsa5743
D11114,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.O.O.[Mg+2],hsa495
D11114,COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1.O.O.[Mg+2],hsa496
D00813,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,hsa5742
D00813,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,hsa5743
D03749,C#CCC12CCC(=O)C=C1CCC1C3CCC(=O)C3(C)CCC12,hsa1588
D01968,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,hsa2224
D01968,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,hsa9453
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2937
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2936
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2944
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa373156
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2940
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2947
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2941
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2948
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa221357
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2950
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa9446
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2876
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2877
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2952
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2954
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2880
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2878
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2678
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2739
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa4056
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2879
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa27306
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2946
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa3029
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2939
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa4259
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa51060
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2938
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa4257
D00014,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,hsa2098
