drug_id,hsa_id
D06000,hsa1128
D03102,hsa3269
D03102,hsa11255
D08517,hsa1909
D07810,hsa4988
D09752,hsa1128
D09752,hsa1129
D09752,hsa1131
D09752,hsa1132
D09752,hsa1133
D02836,hsa3356
D03953,hsa1909
D01603,hsa150
D01603,hsa151
D01603,hsa152
D01603,hsa153
D01603,hsa154
D01603,hsa155
D01603,hsa146
D01603,hsa147
D01603,hsa148
D08457,hsa1813
D06140,hsa1241
D06140,hsa56413
D02362,hsa1131
D02362,hsa1128
D02362,hsa1129
D02362,hsa3356
D02362,hsa1132
D02362,hsa1133
D02362,hsa154
D02362,hsa3355
D02362,hsa3352
D02362,hsa3354
D02362,hsa1813
D02362,hsa1812
D02362,hsa1816
D02362,hsa146
D02362,hsa148
D02362,hsa147
D02362,hsa151
D02362,hsa152
D02362,hsa3362
D02362,hsa3357
D02362,hsa153
D02362,hsa3360
D02362,hsa3351
D02362,hsa150
D02362,hsa3358
D02362,hsa155
D02362,hsa3363
D02362,hsa3350
D02362,hsa3269
DB12789,hsa11251
DB12789,hsa5737
DB00666,hsa2798
D10006,hsa3356
D06012,hsa3269
D06569,hsa4157
D06569,hsa4158
D06569,hsa4161
D06569,hsa4159
D06569,hsa4160
D09876,hsa1813
D09876,hsa3350
D09876,hsa3356
D00613,hsa148
D00613,hsa147
D00613,hsa146
D00613,hsa150
D00613,hsa151
D00613,hsa152
D00613,hsa1812
D00613,hsa1816
D10749,hsa11255
D02826,hsa3351
D02826,hsa3352
D00687,hsa154
D00687,hsa153
D00687,hsa155
D01600,hsa1128
D01600,hsa1129
D01600,hsa1131
D01600,hsa1132
D01600,hsa1133
D07316,hsa1814
D07316,hsa3358
D05718,hsa154
D05879,hsa155
D03579,hsa4988
D03579,hsa4986
D03579,hsa4985
D08570,hsa153
D08570,hsa155
D08570,hsa154
D09335,hsa2798
D08046,hsa4988
D04625,hsa153
D04625,hsa154
D05769,hsa3269
D09969,hsa5732
DB02709,hsa4544
DB02709,hsa4543
D02071,hsa1128
D02071,hsa1129
D02071,hsa1131
D02071,hsa1132
D02071,hsa1133
D00847,hsa4985
D00847,hsa4986
D00847,hsa4988
D07307,hsa3356
D07307,hsa3358
D10648,hsa4988
D10904,hsa1901
D10904,hsa9294
D10904,hsa1903
D10904,hsa8698
D10904,hsa53637
D02689,hsa4544
D02689,hsa4543
DB06153,hsa151
DB06153,hsa3358
DB06153,hsa3269
DB06153,hsa1129
DB06153,hsa3357
DB06153,hsa3356
DB06153,hsa3352
DB06153,hsa3354
DB06153,hsa3355
DB06153,hsa3351
DB06153,hsa146
DB06153,hsa152
DB06153,hsa150
DB06153,hsa147
DB06153,hsa1131
DB06153,hsa3350
DB06153,hsa148
DB06153,hsa1128
DB00483,hsa1133
DB00483,hsa1128
DB00483,hsa1129
D09871,hsa11255
D11313,hsa10203
D02569,hsa150
D02569,hsa151
D02569,hsa152
D02569,hsa3350
D08408,hsa10800
D10326,hsa5729
D00124,hsa151
D00124,hsa153
D00124,hsa155
D00124,hsa146
D00124,hsa152
D00124,hsa150
D00124,hsa147
D00124,hsa148
D00124,hsa154
D02676,hsa1812
D02676,hsa1813
D02676,hsa1814
D02676,hsa1815
D02676,hsa1816
D04314,hsa3350
D00675,hsa3352
D00675,hsa3351
D00675,hsa3355
D08683,hsa150
D08683,hsa151
D08683,hsa152
D00225,hsa3577
D03824,hsa1128
D03824,hsa1129
D03824,hsa1131
D03824,hsa1132
D03824,hsa1133
D01887,hsa148
D01887,hsa147
D01887,hsa146
D01471,hsa153
D01471,hsa154
D10336,hsa2864
D02404,hsa154
D00784,hsa1813
D00784,hsa1814
D00784,hsa1815
D00784,hsa147
D00784,hsa151
D00784,hsa152
D00784,hsa146
D00784,hsa150
D00784,hsa148
D10663,hsa10203
D04038,hsa1813
D04038,hsa1812
D07833,hsa148
D07833,hsa147
