drug_id,hsa_id
D09698,hsa6532
D00532,hsa2554
D00532,hsa2555
D00532,hsa2556
D00532,hsa2557
D00532,hsa2558
D00532,hsa2559
D00532,hsa2560
D00532,hsa2561
D00532,hsa2562
D00532,hsa2563
D00532,hsa2564
D00532,hsa2565
D00532,hsa2566
D00532,hsa2567
D00532,hsa2568
D00532,hsa55879
D00809,hsa3781
D00809,hsa3782
D00809,hsa3785
D00809,hsa6532
D00809,hsa3757
D00809,hsa3736
D00809,hsa90134
D00809,hsa81033
D00809,hsa3786
D00809,hsa6530
DB11859,hsa2562
DB11859,hsa2566
DB11859,hsa2565
DB11859,hsa2567
DB11859,hsa2560
DB11859,hsa2563
DB11859,hsa2557
DB11859,hsa2559
DB11859,hsa2568
DB11859,hsa55879
DB11859,hsa2554
DB11859,hsa2561
DB11859,hsa2564
DB11859,hsa2555
DB11859,hsa2558
DB11859,hsa2556
D07445,hsa6531
D07445,hsa6532
D07445,hsa6530
D08215,hsa6331
D08215,hsa6323
D08215,hsa6335
D08215,hsa6326
D08215,hsa6329
D08215,hsa6336
D08215,hsa11280
D08215,hsa6334
D08215,hsa6328
D08441,hsa775
D08441,hsa776
D08441,hsa778
D08441,hsa779
D00293,hsa2554
D00293,hsa2555
D00293,hsa2556
D00293,hsa2557
D00293,hsa2558
D00293,hsa2559
D00293,hsa2560
D00293,hsa2561
D00293,hsa2562
D00293,hsa2563
D00293,hsa2564
D00293,hsa2565
D00293,hsa2566
D00293,hsa2567
D00293,hsa2568
D00293,hsa55879
D00293,hsa2569
D00293,hsa2570
D00293,hsa200959
D00293,hsa2741
D00293,hsa2742
D00293,hsa2743
D01354,hsa2554
D01354,hsa2555
D01354,hsa2556
D01354,hsa2557
D01354,hsa2558
D01354,hsa2559
D01354,hsa2560
D01354,hsa2562
D01354,hsa2561
D01354,hsa2563
D01354,hsa2564
D01354,hsa2565
D01354,hsa2566
D01354,hsa2567
D01354,hsa2568
D01354,hsa55879
D01354,hsa2570
D01354,hsa2569
D01354,hsa200959
D00617,hsa775
D00617,hsa776
D00617,hsa778
D00617,hsa779
D00617,hsa3739
D00617,hsa773
D00617,hsa783
D00617,hsa781
D05482,hsa3767
D05482,hsa6833
D05482,hsa10060
D00616,hsa775
D00616,hsa776
D00616,hsa778
D00616,hsa779
D00616,hsa3736
D00616,hsa3737
D00616,hsa3738
D00616,hsa3741
D00616,hsa3746
D00616,hsa786
D08466,hsa3359
D08466,hsa285242
D08466,hsa200909
D08466,hsa170572
D08466,hsa9177
D08623,hsa116443
D08623,hsa6532
D08623,hsa6530
D08623,hsa2906
D08623,hsa116444
D08623,hsa2905
D08623,hsa2904
D08623,hsa7442
D08623,hsa6326
D08623,hsa2903
D08623,hsa2902
D11102,hsa775
D11102,hsa776
D11102,hsa778
D11102,hsa779
D07595,hsa6323
D07595,hsa6326
D07595,hsa6328
D07595,hsa6329
D07595,hsa6331
D07595,hsa6334
D07595,hsa6335
D07595,hsa6336
D07595,hsa11280
D03365,hsa1141
D03365,hsa1143
D03365,hsa55584
D03365,hsa1134
D03365,hsa1136
D03365,hsa1145
D03365,hsa3359
D03365,hsa1140
D03365,hsa1138
D03365,hsa1146
D03365,hsa1139
D03365,hsa1135
D03365,hsa1144
D03365,hsa1137
D03365,hsa57053
D03365,hsa1142
D03365,hsa8973
D05775,hsa6335
D05775,hsa6323
D05775,hsa6326
D05775,hsa6328
D05775,hsa6329
D05775,hsa6331
D05775,hsa6334
D05775,hsa6336
D05775,hsa11280
D02833,hsa2554
D02833,hsa2555
D02833,hsa2556
D02833,hsa2557
D02833,hsa2558
D02833,hsa2559
D02833,hsa2560
D02833,hsa2562
D02833,hsa2561
D02833,hsa2563
D02833,hsa2564
D02833,hsa2565
D02833,hsa2566
D02833,hsa2567
D02833,hsa2568
D02833,hsa55879
D01268,hsa2554
D01268,hsa2555
D01268,hsa2556
D01268,hsa2557
D01268,hsa2558
