drug_id,hsa_id
D07800,hsa2908
D00088,hsa2908
D06876,hsa2908
D03911,hsa2099
D03911,hsa2100
D02174,hsa2908
D02174,hsa190
D02174,hsa8856
D01820,hsa2908
D06235,hsa5241
D07220,hsa5241
D03930,hsa7421
D01998,hsa2908
D07715,hsa2908
D07796,hsa2908
D11548,hsa9971
D04467,hsa2908
D04214,hsa2908
D00945,hsa5468
D00945,hsa5465
D00945,hsa5467
D01442,hsa2908
D06226,hsa5468
D06226,hsa8856
D06226,hsa367
D06226,hsa9970
D00512,hsa8856
D10221,hsa367
D00978,hsa2908
D08949,hsa5465
D05443,hsa8856
D05443,hsa2099
D07749,hsa2908
D07919,hsa2099
D07919,hsa2100
D00067,hsa2099
D00067,hsa2100
D00067,hsa367
D00751,hsa2908
D00958,hsa367
D00958,hsa4306
D00958,hsa2099
D05680,hsa5241
D00882,hsa8856
D10892,hsa4306
D01580,hsa5241
D06211,hsa367
D02592,hsa2908
D02592,hsa190
D02592,hsa8856
D02591,hsa2908
D02591,hsa190
D02591,hsa8856
D01132,hsa5916
D01132,hsa5915
D01132,hsa6257
D01132,hsa5914
D01132,hsa6096
D01132,hsa6256
D01132,hsa6258
D04227,hsa2908
D09834,hsa2099
D09834,hsa2100
D04228,hsa2908
D04061,hsa8856
D04061,hsa2099
D04061,hsa2104
D04061,hsa2100
D01472,hsa7421
D10633,hsa4306
D00973,hsa2908
D08053,hsa5241
D07434,hsa2099
D04636,hsa5914
D04636,hsa5915
D04636,hsa5916
D01159,hsa5241
D00967,hsa2099
D00967,hsa2100
D03145,hsa367
D00335,hsa5468
D00385,hsa2908
D05679,hsa5241
D07972,hsa2908
D05194,hsa2908
D11264,hsa2099
D11264,hsa2100
D07801,hsa2908
D01374,hsa5241
D01374,hsa2099
D10986,hsa5241
D01534,hsa367
D07975,hsa2908
D00165,hsa2908
D01265,hsa2099
D01265,hsa2100
D00690,hsa2908
D00690,hsa5241
D08627,hsa367
D03699,hsa4306
D00282,hsa8856
D07223,hsa5241
D00280,hsa8856
D00472,hsa2908
D07456,hsa367
D07456,hsa4306
D07456,hsa2099
D07495,hsa2908
D08170,hsa2099
D00628,hsa7421
D03561,hsa2908
D07981,hsa2908
D07981,hsa5241
D07981,hsa4306
D00319,hsa4306
D01764,hsa2908
D05009,hsa5241
D08227,hsa2908
D08227,hsa5241
D11000,hsa2908
D04221,hsa2908
D00143,hsa8856
D03079,hsa367
D00328,hsa2908
D08251,hsa367
D01533,hsa367
D00246,hsa2908
D03106,hsa6256
D03106,hsa6258
D03106,hsa6257
D05456,hsa8856
D05456,hsa2099
D05456,hsa9970
D02815,hsa6096
D02815,hsa5914
D02815,hsa6258
D02815,hsa190
D02815,hsa6097
D02815,hsa5916
D02815,hsa5915
D02815,hsa6257
D02815,hsa6256
D04218,hsa2908
D01434,hsa2908
D00292,hsa8856
D00292,hsa190
D00292,hsa2908
D06551,hsa2099
D06551,hsa2100
D08378,hsa5465
D08378,hsa5467
D08378,hsa5468
D00951,hsa2099
D00951,hsa5241
D01239,hsa2908
D06191,hsa367
D04317,hsa2908
D04317,hsa2099
D04317,hsa367
D04317,hsa5241
D08167,hsa5241
D08167,hsa2908
D01518,hsa6256
D01518,hsa7421
D05025,hsa367
D10218,hsa367
D04411,hsa5468
D05837,hsa367
D01476,hsa367
D00708,hsa8856
D01853,hsa2099
D01853,hsa2100
D04065,hsa2099
D04065,hsa2100
D04065,hsa2104
D04065,hsa8856
D00312,hsa2099
D00312,hsa2100
D00312,hsa367
D00360,hsa8856
D00360,hsa2099
D00360,hsa5241
D11572,hsa2908
D00299,hsa7421
D03301,hsa2908
D10876,hsa2100
D10876,hsa2099
D06003,hsa5241
D08128,hsa7067
D08128,hsa7068
D06647,hsa5465
D06647,hsa5467
D06647,hsa5468
D00965,hsa367
D01708,hsa2908
D01708,hsa5241
D01708,hsa4306
D05106,hsa2099
D05106,hsa2100
D04041,hsa2099
D04041,hsa2100
D03671,hsa2908
D09381,hsa7068
D07798,hsa2908
D05091,hsa5465
D05091,hsa5468
D03697,hsa2908
D00105,hsa8856
D00105,hsa2100
D00105,hsa2099
D00105,hsa2104
D03912,hsa2099
D03912,hsa2100
D00627,hsa5468
D08036,hsa2908
D08414,hsa2908
D05601,hsa2908
D07802,hsa2908
D05030,hsa5468
D03144,hsa367
D00448,hsa5468
D05000,hsa2908
D02754,hsa6256
D02754,hsa5916
D02754,hsa5915
D02754,hsa6258
D02754,hsa6257
D02754,hsa5914
D08416,hsa2908
D07918,hsa2099
D07918,hsa2100
D07766,hsa367
D03936,hsa8856
D05174,hsa367
D00075,hsa2099
D00075,hsa367
D00075,hsa4306
D04066,hsa2099
D04066,hsa2100
D01948,hsa2908
D01948,hsa8856
D01948,hsa190
D08610,hsa2908
D06216,hsa2908
D07116,hsa2908
D02327,hsa9970
D03715,hsa5465
D03715,hsa5468
D07792,hsa4306
D01737,hsa367
D04947,hsa367
D00327,hsa2908
D00327,hsa2099
D00327,hsa367
D00490,hsa367
D07920,hsa2099
D07920,hsa2100
D03541,hsa2908
D04496,hsa2099
D04496,hsa2100
D05003,hsa5241
D01971,hsa5468
D07670,hsa5241
D07670,hsa367
D01229,hsa2908
D01418,hsa5914
D01418,hsa5915
D05397,hsa5465
D05397,hsa5468
D04219,hsa2908
D03515,hsa367
D11603,hsa5468
D07488,hsa5468
D01485,hsa367
D02910,hsa5468
D02910,hsa7067
D02910,hsa7068
D00985,hsa2908
D00437,hsa8856
D01689,hsa2908
D01208,hsa5465
D00977,hsa2908
D01125,hsa7421
D01414,hsa5241
D06315,hsa2908
D06315,hsa5241
D06315,hsa4306
D10016,hsa5241
D07221,hsa2099
D07221,hsa2100
D08166,hsa5241
D08166,hsa2099
D08249,hsa2099
D03941,hsa5468
D05603,hsa2908
D11451,hsa367
D05729,hsa2908
D11602,hsa7068
D08061,hsa5465
D08061,hsa5467
D08061,hsa5468
D08412,hsa2908
D08574,hsa367
D04162,hsa5914
D04162,hsa5915
D04162,hsa5916
D01098,hsa7421
D00438,hsa4306
D08409,hsa5465
D08409,hsa8856
D08409,hsa2099
D08409,hsa2100
D08409,hsa367
D08409,hsa9970
D04064,hsa2099
D04064,hsa2100
D04064,hsa2104
D04064,hsa8856
D07464,hsa2908
D00946,hsa2099
D00946,hsa2100
D10617,hsa2908
D07921,hsa2099
D07921,hsa2100
D08429,hsa2908
D08429,hsa5241
D01986,hsa2099
D01986,hsa2100
D09567,hsa2908
D09567,hsa367
D09567,hsa5241
D00956,hsa367
D01011,hsa7067
D01011,hsa7068
D01368,hsa367
D10699,hsa9971
D10699,hsa2104
D03792,hsa4306
D08285,hsa5241
D03813,hsa2908
D04409,hsa2908
D00334,hsa5465
D11208,hsa5465
D05309,hsa2099
D05309,hsa2100
D05309,hsa367
D05309,hsa5241
D09720,hsa8856
D10008,hsa2099
D10008,hsa2100
D09360,hsa9971
D08465,hsa2100
D08465,hsa2099
D00981,hsa2908
D00343,hsa8856
D02018,hsa2099
D02018,hsa2100
D07724,hsa5465
D08660,hsa2908
D00395,hsa5468
D00395,hsa2104
D00395,hsa5465
D00395,hsa5467
D00395,hsa2101
D00968,hsa5465
D00968,hsa5468
D06085,hsa367
D06085,hsa2099
D06085,hsa4306
D04201,hsa2908
D08147,hsa2908
D00950,hsa2908
D00950,hsa367
D00950,hsa5241
D00950,hsa2099
D00129,hsa7421
D00427,hsa8856
D04316,hsa5241
D08193,hsa367
D01308,hsa2908
D04063,hsa8856
D04063,hsa2099
D04063,hsa2104
D04063,hsa2100
D09687,hsa5241
D01387,hsa2908
D07977,hsa367
D08163,hsa9970
D02106,hsa5914
D01641,hsa2099
D01641,hsa2100
D00585,hsa8856
D00585,hsa2908
D00585,hsa5241
D00585,hsa367
D00585,hsa4306
D05205,hsa367
D05205,hsa5241
D03675,hsa2099
D03675,hsa2100
D03675,hsa367
D03594,hsa2908
D00949,hsa5241
D00980,hsa2908
D11257,hsa5468
D08415,hsa2908
D08301,hsa2099
D08301,hsa2100
D11105,hsa367
D00141,hsa5465
D00141,hsa5468
D00040,hsa7421
D00040,hsa9970
D00040,hsa6095
D07797,hsa2908
D11514,hsa2099
D11514,hsa2100
D01180,hsa2099
D01180,hsa2100
D00955,hsa367
D07187,hsa5465
D08197,hsa367
D01464,hsa2908
D00325,hsa2908
D04244,hsa2908
D00972,hsa2908
D00972,hsa8856
D00972,hsa190
D08845,hsa5465
D08845,hsa5468
D00859,hsa2099
D10711,hsa5465
D00473,hsa2908
D01637,hsa2908
D01637,hsa8856
D01637,hsa190
D06102,hsa5465
D05719,hsa2908
D01161,hsa2099
D01161,hsa2100
D07827,hsa2908
D07222,hsa5241
D08196,hsa367
D11513,hsa2099
D11513,hsa2100
D02554,hsa8856
D05640,hsa4306
D06201,hsa2908
D00182,hsa5241
D03996,hsa5468
D03812,hsa2908
D00211,hsa8856
D05674,hsa367
D04104,hsa5241
D04104,hsa2099
D08559,hsa8856
D08559,hsa2099
D08559,hsa2104
D08559,hsa2100
D08559,hsa367
D03493,hsa5468
D11185,hsa367
D03551,hsa2099
D03551,hsa2100
D03551,hsa367
D10634,hsa2908
D05020,hsa4306
D03062,hsa2099
D03062,hsa2100
D07096,hsa5241
D01639,hsa2099
D00689,hsa2908
D00554,hsa8856
D00554,hsa2099
D06357,hsa367
D07973,hsa2908
D00953,hsa5241
D08144,hsa9970
D01602,hsa2099
D01602,hsa2100
D00389,hsa367
D00420,hsa2099
D00420,hsa367
D00420,hsa5241
D08620,hsa2100
D08620,hsa2099
D03325,hsa2908
D03325,hsa5241
D00983,hsa2908
D07907,hsa8856
D02288,hsa2908
D01735,hsa8856
D00315,hsa6256
D02286,hsa2908
D02289,hsa2908
D05002,hsa2908
D06543,hsa5914
D06543,hsa5915
D06543,hsa5916
D07203,hsa2908
D08910,hsa2100
D08910,hsa2099
D03879,hsa2099
D06161,hsa2908
D07967,hsa2908
D07967,hsa367
D07967,hsa4306
D01375,hsa367
D00979,hsa2908
D01272,hsa2908
D07127,hsa367
D00361,hsa7067
D00361,hsa7068
D10565,hsa7421
D06673,hsa2908
D00986,hsa4306
D00986,hsa2908
D06145,hsa5241
D00952,hsa2908
D00952,hsa5241
D01329,hsa367
D07202,hsa2908
D05912,hsa4306
D03521,hsa5465
D09972,hsa5241
D08554,hsa7421
D03750,hsa7067
D03750,hsa7068
D11579,hsa8856
D11579,hsa5467
D11579,hsa5465
D11579,hsa5468
D00407,hsa2908
D01266,hsa2908
D07578,hsa7421
D00028,hsa5467
D05116,hsa367
D00377,hsa5468
D08129,hsa7067
D08129,hsa7068
D05739,hsa5468
D08573,hsa367
D07928,hsa2099
D07783,hsa2099
D07783,hsa2100
D07783,hsa367
D03917,hsa367
D03917,hsa5241
D03917,hsa4306
D00164,hsa5914
D00164,hsa5915
D00164,hsa5916
D07814,hsa2908
D00576,hsa2099
D07230,hsa2908
D00596,hsa5465
D00596,hsa5467
D00596,hsa5468
D00596,hsa6256
D00596,hsa6258
D00596,hsa6257
D11336,hsa2908
D01112,hsa6256
D01112,hsa5916
D01112,hsa5915
D01112,hsa6258
D01112,hsa6257
D01112,hsa5914
D07760,hsa8856
D08281,hsa5241
D00120,hsa5467
D00279,hsa5465
D00449,hsa8856
D02758,hsa2099
D02758,hsa2100
D06171,hsa2908
D02156,hsa2908
D00948,hsa2099
D00948,hsa2100
D07939,hsa2099
D07939,hsa5241
D11113,hsa7067
D11113,hsa7068
D01274,hsa5465
D01274,hsa5468
D00269,hsa2099
D00269,hsa2100
D08958,hsa2099
D03696,hsa2908
D05207,hsa2099
D05207,hsa367
D05207,hsa5241
D01662,hsa7421
D10136,hsa2908
D07815,hsa2908
D06086,hsa367
D06197,hsa5241
D00700,hsa8856
D02996,hsa5241
D00443,hsa8856
D00443,hsa2908
D00443,hsa367
D00443,hsa5241
D00443,hsa4306
D05341,hsa5465
D05341,hsa3174
D07201,hsa2908
D00187,hsa7421
D00565,hsa5465
D00565,hsa5467
D00565,hsa5468
D00565,hsa8856
D01273,hsa2908
D09899,hsa2100
D02165,hsa8856
D00351,hsa8856
D00351,hsa367
D00351,hsa9970
D01825,hsa2908
D08277,hsa9971
D09350,hsa5465
D09350,hsa5467
D09350,hsa5468
D01943,hsa4306
D00188,hsa7421
D01886,hsa2908
D01510,hsa2908
D01510,hsa190
D01510,hsa8856
D05150,hsa5468
D07980,hsa2908
D00575,hsa2099
D00575,hsa2100
D01301,hsa367
D01009,hsa7421
D01367,hsa2908
D08052,hsa5241
D00289,hsa2099
D00289,hsa367
D00289,hsa5241
D08868,hsa7421
D04885,hsa5241
D01743,hsa2908
D04132,hsa5468
D00444,hsa367
D03363,hsa4306
D00499,hsa8856
D03691,hsa2908
D01115,hsa4306
D00577,hsa8856
D00577,hsa2099
D00577,hsa2104
D00577,hsa2100
D00577,hsa2101
D00577,hsa2103
D00577,hsa367
D01366,hsa5465
D01366,hsa5467
D01366,hsa5468
D01366,hsa6256
D01366,hsa8856
D01366,hsa6258
D01366,hsa6257
D10528,hsa4306
D06245,hsa2099
D06245,hsa2100
D04217,hsa2908
D01621,hsa5914
D01621,hsa5915
D01621,hsa5916
D06087,hsa367
D06087,hsa4306
D06087,hsa2099
D01617,hsa2099
D01617,hsa2100
D01617,hsa2104
D01617,hsa8856
D00957,hsa2099
D00957,hsa367
D00957,hsa4306
D02993,hsa2099
D02993,hsa2100
D01413,hsa8856
D01413,hsa2100
D01413,hsa2099
D01413,hsa2104
D01953,hsa8856
D01953,hsa2100
D01953,hsa2099
D01953,hsa2104
D08491,hsa5468
D08491,hsa6257
D08491,hsa6258
D08491,hsa6256
D08491,hsa5467
D08491,hsa5465
D05001,hsa2908
D02315,hsa5465
D02315,hsa5467
D02315,hsa5468
D02315,hsa6256
D07717,hsa2908
D06135,hsa2908
D00408,hsa2099
D00408,hsa367
D01111,hsa5468
D11045,hsa367
D08477,hsa5914
D08477,hsa5915
D08477,hsa5916
D11225,hsa5916
D00594,hsa5468
D11604,hsa5468
D04315,hsa5241
D01327,hsa2908
D00066,hsa2908
D00066,hsa2099
D00066,hsa2100
D00066,hsa367
D00066,hsa5241
D00066,hsa4306
D00386,hsa4306
D00730,hsa8856
D08476,hsa2908
D02032,hsa2908
D00506,hsa8856
D00506,hsa9970
D00185,hsa2099
D00185,hsa2100
D00586,hsa8856
D00586,hsa367
D00324,hsa2908
D01516,hsa5914
D01516,hsa5915
D01516,hsa5916
D00163,hsa8856
D00163,hsa9971
D07719,hsa2908
D07826,hsa2099
D07826,hsa2100
D07073,hsa2908
D03658,hsa8013
D10987,hsa5241
D02287,hsa2908
D03698,hsa4306
D10606,hsa2099
D10606,hsa2100
D02840,hsa5241
D01217,hsa5241
D05308,hsa5241
D01149,hsa367
D00961,hsa367
D11040,hsa367
D08313,hsa8856
D08250,hsa367
D08890,hsa5465
D00119,hsa5465
D09365,hsa5916
D01615,hsa2908
D01615,hsa190
D01615,hsa8856
D03653,hsa5468
D01322,hsa8856
D02881,hsa5241
D08431,hsa5241
D00122,hsa7421
D00982,hsa2908
D03799,hsa367
D03799,hsa5241
D07536,hsa367
D01616,hsa2099
D01616,hsa2100
D01616,hsa367
D01294,hsa2099
D01294,hsa5241
D06631,hsa2100
D02367,hsa2099
D02367,hsa5241
D07799,hsa2908
D00898,hsa2099
D00898,hsa2100
D01619,hsa2908
D07968,hsa5241
D04672,hsa2099
D04672,hsa2100
D07214,hsa7067
D07214,hsa7068
D00399,hsa5465
D00399,hsa5467
D00399,hsa5468
D00976,hsa2908
D05209,hsa2099
D05209,hsa367
D05209,hsa5241
D00930,hsa7421
D00959,hsa367
D00984,hsa2908
D09571,hsa5241
D10198,hsa7421
D08413,hsa2908
D01703,hsa2908
D01299,hsa5241
D01299,hsa367
D11181,hsa5241
D01581,hsa5465
D01581,hsa5468
D01581,hsa367
D01441,hsa6095
D00462,hsa367
D11184,hsa367
D00316,hsa5914
D00316,hsa5915
D00316,hsa5916
D00316,hsa6256
D00316,hsa6257
D00316,hsa6258
D09796,hsa2908
D11256,hsa5468
D05192,hsa2099
D05192,hsa2100
D01989,hsa2099
D01989,hsa2100
D00252,hsa8856
D02217,hsa2099
D02217,hsa2100
D00491,hsa8856
D00375,hsa8856
D00966,hsa2099
D00966,hsa2100
D00966,hsa2104
D00966,hsa367
D00966,hsa8856
DB14542,hsa2908
DB11219,hsa2099
DB11219,hsa2100
DB11219,hsa367
DB11219,hsa5241
DB07776,hsa2101
DB07776,hsa2103
DB11672,hsa5468
DB11672,hsa7421
DB01593,hsa2099
DB02709,hsa5465
DB02709,hsa5468
DB02709,hsa8856
DB02709,hsa2099
DB02709,hsa9970
DB00132,hsa5465
DB00132,hsa9971
DB00132,hsa5467
DB00132,hsa5468
DB00132,hsa6256
DB14001,hsa8856
DB00769,hsa2908
DB13155,hsa367
DB14487,hsa2099
DB00146,hsa7421
DB03017,hsa5465
DB03017,hsa3172
DB09086,hsa2099
DB09086,hsa2100
DB09086,hsa367
DB01620,hsa9970
DB00682,hsa8856
DB11994,hsa10062
DB11994,hsa7376
DB00374,hsa5467
DB06249,hsa2099
DB06249,hsa2100
DB13955,hsa8856
DB13955,hsa2099
DB13955,hsa2104
DB13955,hsa2100
DB03756,hsa5465
DB03756,hsa5468
DB03756,hsa6256
DB03756,hsa6258
DB03756,hsa6257
DB00163,hsa8856
DB14533,hsa2099
DB00180,hsa2908
DB09061,hsa5468
DB03619,hsa9971
DB04574,hsa2099
DB04574,hsa2100
DB01063,hsa367
